Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
43,car_overlay_reconstruction,16:33:01.712759,16:33:01.715444,0.0027,0.000000,0.000000,0,0
43,object_detection_yolo,16:33:01.719537,16:33:01.757164,0.0376,0.000000,0.000000,0,0
43,vehicle_analysis_postprocessing,16:33:01.761904,16:33:01.762486,0.0006,0.000000,0.000000,0,0
43,mqtt_communication,16:33:01.766451,16:33:01.766702,0.0003,0.000000,0.000000,0,0
44,lane_detection,16:33:01.803866,16:33:01.873570,0.0697,0.000000,0.000000,0,0
44,car_overlay_reconstruction,16:33:01.878449,16:33:01.881337,0.0029,0.000000,0.000000,0,0
44,object_detection_yolo,16:33:01.885651,16:33:01.923403,0.0378,0.000000,0.000000,0,0
44,vehicle_analysis_postprocessing,16:33:01.927788,16:33:01.928339,0.0006,0.000000,0.000000,0,0
44,mqtt_communication,16:33:01.932329,16:33:01.932606,0.0003,0.000000,0.000000,0,0
45,lane_detection,16:33:01.971019,16:33:02.039670,0.0687,0.000000,0.000000,0,0
45,car_overlay_reconstruction,16:33:02.044416,16:33:02.047182,0.0028,0.000000,0.000000,0,0
45,object_detection_yolo,16:33:02.051330,16:33:02.088869,0.0375,0.000000,0.000000,0,0
45,vehicle_analysis_postprocessing,16:33:02.093260,16:33:02.093786,0.0005,0.000000,0.000000,0,0
45,mqtt_communication,16:33:02.098539,16:33:02.098813,0.0003,0.000000,0.000000,0,0
46,lane_detection,16:33:02.132788,16:33:02.201179,0.0684,0.000000,0.000000,0,0
46,car_overlay_reconstruction,16:33:02.206131,16:33:02.209152,0.0030,0.000000,0.000000,0,0
46,object_detection_yolo,16:33:02.213119,16:33:02.250974,0.0379,0.000000,0.000000,0,0
46,vehicle_analysis_postprocessing,16:33:02.255306,16:33:02.255812,0.0005,0.000000,0.000000,0,0
46,mqtt_communication,16:33:02.260123,16:33:02.260423,0.0003,0.000000,0.000000,0,0
47,lane_detection,16:33:02.294564,16:33:02.367135,0.0726,0.000000,0.000000,0,0
47,car_overlay_reconstruction,16:33:02.373143,16:33:02.375982,0.0028,0.000000,0.000000,0,0
47,object_detection_yolo,16:33:02.381939,16:33:02.420453,0.0385,0.000000,0.000000,0,0
47,vehicle_analysis_postprocessing,16:33:02.424878,16:33:02.425400,0.0005,0.000000,0.000000,0,0
47,mqtt_communication,16:33:02.429502,16:33:02.429814,0.0003,0.000000,0.000000,0,0
48,lane_detection,16:33:02.462905,16:33:02.536719,0.0738,0.000000,0.000000,0,0
48,car_overlay_reconstruction,16:33:02.541312,16:33:02.543785,0.0025,0.000000,0.000000,0,0
48,object_detection_yolo,16:33:02.547653,16:33:02.585255,0.0376,0.000000,0.000000,0,0
48,vehicle_analysis_postprocessing,16:33:02.589439,16:33:02.589922,0.0005,0.000000,0.000000,0,0
48,mqtt_communication,16:33:02.594080,16:33:02.594331,0.0003,0.000000,0.000000,0,0
49,lane_detection,16:33:02.627567,16:33:02.695296,0.0677,0.000000,0.000000,0,0
49,car_overlay_reconstruction,16:33:02.699494,16:33:02.701810,0.0023,0.000000,0.000000,0,0
49,object_detection_yolo,16:33:02.705706,16:33:02.743110,0.0374,0.000000,0.000000,0,0
49,vehicle_analysis_postprocessing,16:33:02.747656,16:33:02.748142,0.0005,0.000000,0.000000,0,0
49,mqtt_communication,16:33:02.751992,16:33:02.752244,0.0003,0.000000,0.000000,0,0
50,lane_detection,16:33:02.785508,16:33:02.856312,0.0708,0.000000,0.000000,0,0
50,car_overlay_reconstruction,16:33:02.860750,16:33:02.863362,0.0026,0.000000,0.000000,0,0
50,object_detection_yolo,16:33:02.867341,16:33:02.904918,0.0376,0.000000,0.000000,0,0
50,vehicle_analysis_postprocessing,16:33:02.909249,16:33:02.909788,0.0005,0.000000,0.000000,0,0
50,mqtt_communication,16:33:02.913919,16:33:02.914216,0.0003,0.000000,0.000000,0,0
51,lane_detection,16:33:02.947052,16:33:03.024763,0.0777,0.000000,0.000000,0,0
51,car_overlay_reconstruction,16:33:03.030936,16:33:03.033917,0.0030,0.000000,0.000000,0,0
